module_id,conceptual_module,primary_scenario_file,supporting_scenario_files,role_in_system,key_state_or_counters,main_evidence_files,notes
M1,Baseline communication path,urban_v2x.cc,secure_v2x.cc; secure_trust_blockchain_v2x.cc,Core packet delivery baseline,txCount; rxCount; pdr; avgDelay; throughput,project_evidence/baseline/urban_default.csv,Used as communication reference layer
M2,Packet receive and validate path,secure_trust_blockchain_v2x.cc,secure_v2x.cc,Receives packets and applies acceptance or drop logic,rxCount; drop-related counters; packet metadata,project_evidence/secure/secure_meaningful.csv; project_evidence/integrated/final_valid_comm.csv,Central packet-level security path
M3,Replay defense logic,secure_v2x.cc,secure_trust_blockchain_v2x.cc,Detects and drops replayed packets,replayDrops; replay cache state,project_evidence/secure/secure_meaningful.csv,Supports replay-resistance claim in simulation
M4,Invalid or tampered packet filtering,secure_v2x.cc,secure_trust_blockchain_v2x.cc,Rejects malformed or invalid-signature style traffic,sigDrops; invalid packet counters,project_evidence/secure/secure_meaningful.csv,Supports authenticity and integrity filtering explanation
M5,Trust engine,secure_trust_blockchain_v2x.cc,rsu_handover.cc; adaptive scenario logic,Maintains or updates trust values from observed behavior,avgAdaptiveTrust; trust score state; trust freshness state,project_evidence/adaptive/adaptive_default.csv; project_evidence/integrated/final_bc_cache_on.csv,Supports control-layer security decisions
M6,Handover decision gate,rsu_handover.cc,secure_trust_blockchain_v2x.cc,Chooses FAST FULL or REJECT during RSU transition,handoverCount; avgHandoverDelay; fastAuthCount; fullAuthCount; rejectCount,project_evidence/handover/handover_meaningful.csv; project_evidence/handover/handover_meaningful_events.csv,Heart of mobility-aware authentication story
M7,Trust freshness and staleness handling,secure_trust_blockchain_v2x.cc,rsu_handover.cc,Checks whether old trust can still be used,staleChecks; mismatch counters; freshness flags,project_evidence/docs/security/TRUST_FRESHNESS_AND_STALENESS.txt,Controls FAST versus FULL eligibility
M8,Blockchain assisted trust continuity,secure_trust_blockchain_v2x.cc,adaptive scenario logic,Retrieves or stores compact trust continuity state,bcQueries; bcUpdates; avgLedgerTrust; reportsSent; reportsCommitted; blocks,project_evidence/adaptive/adaptive_default.csv; project_evidence/integrated/final_bc_cache_on.csv,Not a full production blockchain claim
M9,Cache assisted blockchain lookup,secure_trust_blockchain_v2x.cc,adaptive scenario logic,Reduces repeated trust lookup overhead,cache hits; cache misses; avgBlockLatency,project_evidence/integrated/final_bc_cache_on.csv; project_evidence/integrated/final_bc_cache_on_events.csv,Supports overhead discussion
M10,Privacy pseudonym rotation,secure_trust_blockchain_v2x.cc,privacy scenario logic,Rotates identity references to reduce linkability,rotations; linkAttempts; linkSuccess; linkSuccessRate,project_evidence/integrated/final_privacy_meaningful.csv; project_evidence/integrated/final_privacy_meaningful_events.csv,Empirical privacy support only
M11,Attack injection controls,secure_v2x.cc,secure_trust_blockchain_v2x.cc; adaptive scenarios,Introduces replay tamper malicious and stress behavior,maliciousRate; attackMode; replay flags; invalid packet mode,project_evidence/docs/security/ATTACK_IMPLEMENTATION_MATRIX.csv,Used to explain attacker implementation
M12,Metrics logging and CSV output,all main scenario files,aggregation scripts and result pipeline,Writes summaries and event traces,summary CSVs; event CSVs; master summaries,project_evidence/EVIDENCE_MANIFEST.csv; project_evidence/CHECKSUMS.txt,Supports reproducibility and evidence generation
